id,kurs_tamamlama_durumu,kursa_katilim_gun_sayisi,CP_c12,CP_c13
66303029,Yes,30.0,,
65987024,Yes,53.0,,
67843033,Yes,,,
67289023,,,,
65984066,Yes,93.0,,
68405027,Yes,80.0,,
61177023,No,,,
63066050,No,,,
68449010,,,,
64295021,,,,
64336026,Yes,30.0,,
68302040,Yes,33.0,,
65294015,,,,
68449033,Yes,28.0,,
64392022,No,6.0,,
65240089,Yes,27.0,,
60983007,,,,
66891039,No,8.0,,
60984018,Yes,,,
64358013,,,,
65988042,Yes,53.0,,
64262011,,,,
66837006,,,,
68302055,Yes,33.0,,
64392024,Yes,64.0,,
64068038,Yes,32.0,,
60409043,Yes,55.0,,
65240035,,,,
66922080,Yes,20.0,,
68232023,,,,
60409022,,,,
64067036,Yes,32.0,,
65294006,,,,
63066038,No,,,
67805008,,,,
64260044,Yes,59.0,,
65986010,,,,
67799037,Yes,7.0,,
64244012,Yes,68.0,,
64300030,Yes,97.0,,
65240037,,,,
66891045,No,,,
65984041,,,,
65882014,,,,
65882034,Yes,23.0,,
64174009,,,,
65294037,Yes,31.0,,
68158003,,,,
65481023,No,,,
66382046,Yes,93.0,,
65753005,,,,
67842036,Yes,54.0,,
61177036,Yes,25.0,,
68119004,,,,
64357070,Yes,35.0,,
65240068,Yes,27.0,,
66809031,No,,,
64273003,,,,
67573019,,,,
67034058,Yes,59.0,,
65987017,,,,
64344033,Yes,29.0,,
64353010,,,,
65459017,No,33.0,,
67289068,Yes,60.0,,
64263021,,,,
66303021,Yes,30.0,,
64336025,,,,
68449046,No,,,
60409035,Yes,60.0,,
68449035,Yes,27.0,,
67034076,Yes,59.0,,
66922072,Yes,20.0,,
64282034,No,,,
65984096,Yes,93.0,,
64264024,No,,,
67460042,Yes,80.0,,
64431026,,,,
65042012,,,,
64431047,No,,,
67032079,Yes,50.0,,
64236005,,,,
65240039,,,,
64273004,,,,
59026011,,,,
65474026,Yes,59.0,,
64298032,Yes,,,
65987014,,,,
64067012,,,,
68301005,,,,
67032065,Yes,50.0,,
67842002,,,,
64330023,Yes,29.0,,
67573046,No,,,
64431044,Yes,27.0,,
66303024,Yes,30.0,,
65984120,Yes,93.0,,
64392011,,,,
64283007,,,,
64296019,,,,
65986026,Yes,53.0,,
66303019,No,23.0,,
68097035,,,,
64298034,No,29.0,,
68097063,Yes,60.0,,
64174011,Yes,52.0,,
67683014,,,,
65984108,Yes,93.0,,
66837006,,,,
68441042,Yes,84.0,,
68096002,,,,
64336050,Yes,28.0,,
65434023,Yes,99.0,,
64357081,Yes,35.0,,
65043001,,,,
65476044,No,11.0,,
66264021,Yes,12.0,,
64264005,,,,
68158070,No,,,
65749009,,,,
64186006,,,,
65984020,,,,
68402008,,,,
66837011,,,,
64283013,,,,
66891044,Yes,88.0,,
60984014,Yes,,,
64284026,No,,,
64264001,,,,
64068019,,,,
66542010,,,,
68302007,,,,
65358177,Yes,61.0,,
64353030,Yes,33.0,,
64262047,Yes,57.0,,
65497017,No,11.0,,
66837006,,,,
66809041,Yes,75.0,,
67407005,,,,
67826018,,,,
64262020,,,,
66922060,Yes,20.0,,
64361020,Yes,52.0,,
66837006,,,,
64068040,Yes,32.0,,
66086035,Yes,105.0,,
65497025,Yes,56.0,,
64330010,,,,
64357015,,,,
65497028,Yes,58.0,,
65987032,Yes,53.0,,
65753015,,,,
64356028,No,,,
64392006,,,,
67700030,Yes,8.0,,
67579026,Yes,80.0,,
65042004,,,,
65493028,Yes,126.0,,
68402042,Yes,47.0,,
65358185,Yes,61.0,,
68119032,Yes,27.0,,
65459030,Yes,52.0,,
64352014,,,,
68302053,Yes,33.0,,
65436018,Yes,66.0,,
65358196,Yes,61.0,,
67577019,,,,
67032075,Yes,50.0,,
66891029,Yes,89.0,,
64347014,Yes,75.0,,
61177004,,,,
67289017,,,,
64244029,Yes,74.0,,
64354001,,,,
64067004,,,,
64361001,Yes,51.0,,
64281030,No,,,
60984019,Yes,,,
64330027,Yes,29.0,,
65481021,Yes,60.0,,
67799033,Yes,7.0,,
64373012,,,,
65882039,Yes,23.0,,
65293014,,,,
68444010,,,,
65749038,No,,,
64352035,Yes,32.0,,
64346004,,,,
67683012,,,,
66451007,,,,
64296036,Yes,52.0,,
