id,grup,takip_anket_tarih,takip_anket_tamamlama,takip_son_4_hafta_gelir,takip_20_saat_calisma,takip_sgk_kaydi,takip_haftalik_calisma_saat_ort,takip_aylik_gelir_ort,takip_kurs_yeni_yetenekler_ogretti,takip_kurs_yeteneklerimi_sertifikaladi,takip_kurs_is_bulmam_icin_strateji_ogretti,takip_egitimi_kim_verdi
64248040,Deney,2012-03-02,1.0,1.0,1.0,1.0,63.0,700.0,0.0,1.0,1.0,İŞKUR
67034050,Deney,2012-03-03,1.0,1.0,1.0,1.0,55.0,850.0,1.0,1.0,1.0,İŞKUR
65358043,Kontrol,2012-03-02,1.0,0.0,,,,,,,,
66922011,Kontrol,2012-03-01,1.0,0.0,,1.0,45.0,1200.0,,,,
67034013,Kontrol,2012-03-02,1.0,0.0,,,,,,,,
64357065,Deney,2012-03-03,1.0,1.0,1.0,1.0,60.0,700.0,0.0,0.0,0.0,İŞKUR
68097075,Deney,2012-03-01,1.0,0.0,,,,,1.0,1.0,1.0,İŞKUR
67786040,Deney,2012-03-02,1.0,1.0,1.0,1.0,60.0,700.0,1.0,1.0,0.0,İŞKUR
64357007,Kontrol,2012-03-03,1.0,1.0,1.0,1.0,77.0,650.0,,,,
65474018,Deney,2012-03-03,1.0,0.0,,0.0,66.0,100.0,1.0,1.0,1.0,İŞKUR
60984015,Deney,2012-03-02,1.0,1.0,1.0,1.0,60.0,900.0,0.0,0.0,0.0,İŞKUR
