id,grup,takip_anket_tarih,takip_anket_tamamlama,takip_son_4_hafta_gelir,takip_20_saat_calisma,takip_sgk_kaydi,takip_haftalik_calisma_saat_ort,takip_aylik_gelir_ort,takip_kurs_yeni_yetenekler_ogretti,takip_kurs_yeteneklerimi_sertifikaladi,takip_kurs_is_bulmam_icin_strateji_ogretti,takip_egitimi_kim_verdi
64284001,Kontrol,2012-01-12,1.0,1.0,1.0,1.0,60.0,725.0,,,,
64174031,Deney,2012-01-30,1.0,1.0,1.0,1.0,108.0,1000.0,1.0,1.0,1.0,İŞKUR
64281001,Kontrol,2012-01-26,1.0,0.0,,0.0,90.0,750.0,1.0,1.0,1.0,Kamu
67803048,Deney,2012-01-12,1.0,0.0,,,,,1.0,1.0,1.0,İŞKUR
64358007,Kontrol,2012-01-26,1.0,1.0,1.0,1.0,40.0,1500.0,,,,
67843019,Kontrol,2012-01-10,1.0,1.0,1.0,0.0,40.0,1200.0,1.0,1.0,0.0,İŞKUR
64068040,Deney,2012-01-27,1.0,1.0,0.0,1.0,48.0,750.0,1.0,1.0,0.0,İŞKUR
67845034,Deney,2012-01-11,1.0,0.0,,,,,,,,
67573022,Kontrol,2012-01-19,1.0,1.0,1.0,1.0,75.0,1000.0,,,,
64298030,Deney,2012-01-19,1.0,0.0,,1.0,72.0,540.0,1.0,1.0,1.0,İŞKUR
67288037,Deney,2012-01-26,1.0,0.0,,,,,1.0,1.0,1.0,İŞKUR
67826036,Deney,2012-01-14,1.0,0.0,,0.0,48.0,240.0,0.0,0.0,0.0,Özel
64247036,Deney,2012-01-20,1.0,0.0,,1.0,40.0,1200.0,1.0,0.0,1.0,İŞKUR
61177033,Deney,2012-01-16,1.0,1.0,1.0,1.0,45.0,650.0,1.0,1.0,1.0,İŞKUR
64337011,Kontrol,2012-01-20,1.0,0.0,,0.0,40.0,600.0,,,,
65473001,Kontrol,2012-01-25,1.0,1.0,1.0,1.0,54.0,700.0,,,,
64296041,Deney,2012-01-31,1.0,1.0,0.0,1.0,48.0,1500.0,,,,
67786021,Kontrol,2012-01-27,1.0,0.0,,,,,,,,
67843042,Deney,2012-01-17,1.0,0.0,,1.0,40.0,1500.0,1.0,1.0,1.0,İŞKUR
68386016,Kontrol,2012-01-13,1.0,1.0,1.0,1.0,72.0,600.0,,,,
66542019,Kontrol,2012-01-19,1.0,1.0,1.0,1.0,30.0,320.0,,,,
65240059,Kontrol,2012-01-28,1.0,1.0,1.0,1.0,90.0,1000.0,,,,
66303009,Kontrol,2012-01-27,1.0,1.0,1.0,1.0,48.0,1000.0,,,,
65480010,Kontrol,2012-01-24,1.0,1.0,1.0,1.0,60.0,860.0,,,,
68441027,Deney,2012-01-20,1.0,1.0,1.0,1.0,60.0,700.0,1.0,1.0,1.0,İŞKUR
65211027,Deney,2012-01-28,1.0,0.0,,1.0,90.0,650.0,1.0,1.0,1.0,İŞKUR
65882025,Deney,2012-01-20,1.0,0.0,,,,,1.0,1.0,0.0,İŞKUR
64329011,Kontrol,2012-01-16,1.0,0.0,,0.0,48.0,,,,,
64431021,Kontrol,2012-01-20,1.0,1.0,1.0,1.0,48.0,700.0,,,,
59026009,Kontrol,2012-01-25,1.0,0.0,,1.0,48.0,650.0,,,,
64281039,Deney,2012-01-18,1.0,1.0,1.0,0.0,40.0,,1.0,0.0,0.0,İŞKUR
65984088,Deney,2012-01-15,1.0,0.0,,0.0,25.0,250.0,1.0,1.0,0.0,İŞKUR
67786012,Kontrol,2012-01-06,1.0,1.0,1.0,1.0,50.0,700.0,,,,
67407023,Kontrol,2012-01-18,1.0,1.0,1.0,1.0,42.0,1000.0,,,,
67288039,Deney,2012-01-19,1.0,1.0,1.0,1.0,45.0,1000.0,1.0,1.0,0.0,İŞKUR
64186024,Kontrol,2012-01-04,1.0,1.0,1.0,1.0,72.0,1000.0,,,,
61177007,Kontrol,2012-01-15,1.0,0.0,,1.0,50.0,700.0,,,,
65986024,Deney,2012-01-23,1.0,1.0,1.0,1.0,45.0,800.0,,,,
65240104,Deney,2012-01-23,1.0,0.0,,,,,,,,
65984037,Kontrol,2012-01-29,1.0,0.0,,,,,,,,
60409029,Deney,2012-01-18,1.0,1.0,1.0,1.0,72.0,1200.0,,,,
67700047,Deney,2012-01-23,1.0,1.0,1.0,1.0,50.0,660.0,0.0,1.0,0.0,İŞKUR
68119024,Deney,2012-01-23,1.0,1.0,1.0,1.0,66.0,650.0,1.0,1.0,1.0,İŞKUR
67700006,Kontrol,2012-01-26,1.0,0.0,,1.0,45.0,1300.0,,,,
64372024,Deney,2012-01-31,1.0,0.0,,0.0,60.0,600.0,,,,
68119006,Kontrol,2012-01-31,1.0,0.0,,1.0,72.0,500.0,,,,
67460018,Kontrol,2012-01-19,1.0,1.0,1.0,1.0,70.0,800.0,0.0,1.0,1.0,Kamu
68444047,Deney,2012-01-12,1.0,1.0,1.0,1.0,48.0,690.0,1.0,1.0,0.0,İŞKUR
68233007,Kontrol,2012-01-31,1.0,0.0,,0.0,50.0,,,,,
68304067,Deney,2012-01-19,1.0,0.0,,,,,,,,
64338030,Deney,2012-01-17,1.0,1.0,1.0,1.0,54.0,1500.0,1.0,1.0,0.0,İŞKUR
63066039,Deney,2012-01-10,1.0,0.0,,,,,1.0,1.0,1.0,İŞKUR
67034008,Kontrol,2012-01-14,1.0,0.0,,1.0,60.0,600.0,1.0,1.0,1.0,İŞKUR
65294002,Kontrol,2012-01-27,1.0,1.0,1.0,1.0,48.0,1000.0,,,,
65493031,Deney,2012-01-17,1.0,1.0,1.0,,,,,,,
65358139,Deney,2012-01-27,1.0,0.0,,,,,1.0,1.0,0.0,İŞKUR
60929013,Kontrol,2012-01-04,1.0,0.0,,1.0,45.0,700.0,,,,
65984034,Kontrol,2012-01-16,1.0,0.0,,0.0,40.0,600.0,,,,
64336020,Kontrol,2012-01-23,1.0,0.0,,,,,,,,
65240095,Deney,2012-01-30,1.0,1.0,1.0,1.0,80.0,700.0,,,,
65986025,Deney,2012-01-21,1.0,0.0,,0.0,48.0,300.0,1.0,1.0,1.0,İŞKUR
67843008,Kontrol,2012-01-11,1.0,0.0,,,,,1.0,1.0,1.0,İŞKUR
64284018,Deney,2012-01-23,1.0,0.0,,1.0,10.0,650.0,0.0,1.0,0.0,İŞKUR
66382014,Kontrol,2012-01-27,1.0,0.0,,,,,,,,
64284009,Kontrol,2012-01-12,1.0,0.0,,0.0,75.0,300.0,,,,
65481005,Kontrol,2012-01-25,1.0,1.0,1.0,,,,,,,
64361015,Deney,2012-01-21,1.0,0.0,,0.0,77.0,500.0,1.0,1.0,1.0,İŞKUR
67842044,Deney,2012-01-28,1.0,1.0,1.0,1.0,50.0,900.0,,,,
64244013,Kontrol,2012-01-11,1.0,0.0,,0.0,72.0,700.0,0.0,1.0,0.0,İŞKUR
66451030,Deney,2012-01-24,1.0,0.0,,0.0,80.0,500.0,1.0,1.0,1.0,İŞKUR
67799030,Deney,2012-01-29,1.0,0.0,,0.0,40.0,600.0,0.0,1.0,0.0,İŞKUR
64347013,Deney,2012-01-25,1.0,1.0,1.0,,,,,,,
68402023,Kontrol,2012-01-21,1.0,0.0,,1.0,55.0,700.0,,,,
67703030,Deney,2012-01-14,1.0,1.0,1.0,0.0,60.0,450.0,1.0,1.0,0.0,İŞKUR
65461004,Kontrol,2012-01-24,1.0,1.0,1.0,1.0,60.0,660.0,,,,
64356028,Deney,2012-01-24,1.0,0.0,,,,,,,,
65294040,Deney,2012-01-25,1.0,1.0,1.0,1.0,48.0,1350.0,1.0,1.0,1.0,İŞKUR
68119016,Kontrol,2012-01-30,1.0,1.0,0.0,1.0,84.0,720.0,1.0,1.0,1.0,İŞKUR
65481009,Kontrol,2012-01-24,1.0,1.0,0.0,1.0,42.0,700.0,,,,
64431039,Deney,2012-01-21,1.0,1.0,1.0,1.0,52.0,1000.0,1.0,1.0,1.0,İŞKUR
64067047,Deney,2012-01-26,1.0,0.0,,,,,1.0,1.0,1.0,İŞKUR
59026013,Kontrol,2012-01-30,1.0,1.0,0.0,1.0,66.0,640.0,,,,
65988012,Kontrol,2012-01-21,1.0,1.0,1.0,1.0,77.0,600.0,,,,
64067022,Kontrol,2012-01-25,1.0,0.0,,,,,,,,
68301006,Kontrol,2012-01-20,1.0,0.0,,,,,,,,
64283002,Kontrol,2012-01-30,1.0,0.0,,1.0,60.0,600.0,,,,
65473011,Kontrol,2012-01-25,1.0,0.0,,,,,1.0,0.0,1.0,Kamu
64353033,Deney,2012-01-16,1.0,0.0,,1.0,60.0,630.0,1.0,1.0,1.0,İŞKUR
67573023,Kontrol,2012-01-21,1.0,0.0,,,,,,,,
67289066,Deney,2012-01-26,1.0,1.0,1.0,1.0,40.0,1500.0,,,,
65753022,Kontrol,2012-01-14,1.0,0.0,,,,,,,,
64337048,Deney,2012-01-16,1.0,1.0,1.0,1.0,26.0,300.0,1.0,1.0,1.0,İŞKUR
67577049,Deney,2012-01-17,1.0,0.0,,,,,1.0,1.0,0.0,İŞKUR
68357019,Kontrol,2012-01-13,1.0,1.0,1.0,1.0,48.0,900.0,,,,
64282003,Kontrol,2012-01-16,1.0,0.0,,0.0,72.0,700.0,,,,
64281012,Kontrol,2012-01-21,1.0,1.0,1.0,0.0,54.0,100.0,,,,
68386003,Kontrol,2012-01-19,1.0,1.0,1.0,1.0,,1000.0,,,,
68158075,Deney,2012-01-31,1.0,0.0,,,,,1.0,1.0,0.0,İŞKUR
65461026,Deney,2012-01-24,1.0,1.0,0.0,0.0,84.0,450.0,,,,
60409031,Deney,2012-01-28,1.0,1.0,1.0,1.0,45.0,1400.0,,,,
68441047,Deney,2012-01-16,1.0,1.0,1.0,,,,1.0,,0.0,İŞKUR
67577034,Deney,2012-01-06,1.0,0.0,,1.0,72.0,600.0,,,,
66382040,Deney,2012-01-26,1.0,0.0,,1.0,84.0,700.0,,,,
67842021,Kontrol,2012-01-16,1.0,0.0,,1.0,60.0,,,,,
67786014,Kontrol,2012-01-09,1.0,0.0,,,,,,,,
67700001,Kontrol,2012-01-07,1.0,0.0,,0.0,40.0,150.0,,,,
67577011,Kontrol,2012-01-24,1.0,1.0,0.0,1.0,40.0,1050.0,,,,
67845049,Deney,2012-01-27,1.0,1.0,0.0,1.0,60.0,850.0,1.0,1.0,0.0,İŞKUR
67799002,Kontrol,2012-01-31,1.0,1.0,1.0,1.0,45.0,680.0,,,,
65461007,Kontrol,2012-01-25,1.0,1.0,1.0,1.0,60.0,800.0,,,,
68441009,Kontrol,2012-01-21,1.0,0.0,,,,,,,,
67805023,Deney,2012-01-14,1.0,1.0,1.0,1.0,50.0,800.0,1.0,1.0,1.0,İŞKUR
68097063,Deney,2012-01-18,1.0,0.0,,0.0,48.0,700.0,1.0,1.0,1.0,İŞKUR
65496005,Kontrol,2012-01-24,1.0,1.0,0.0,,,,,,,
66542031,Deney,2012-01-26,1.0,0.0,,,,,0.0,1.0,1.0,İŞKUR
64353014,Kontrol,2012-01-16,1.0,0.0,,0.0,60.0,350.0,,,,
68096016,Kontrol,2012-01-24,1.0,0.0,,,,,1.0,1.0,0.0,Kamu
