id,2012_yil_sonu_sgk,2012_yil_sonu_resmi_gelir,ocak_2012_sgk,agustos_2013_sgk,agustos_2013_gelir,mesleki_durum
66922039,0,0.0,0.0,0.0,0.0,0.0
68449023,0,0.0,0.0,0.0,0.0,0.0
65988027,1,505.37,1.0,0.0,0.0,69.0
68402046,0,0.0,0.0,0.0,0.0,0.0
66809015,0,0.0,0.0,0.0,0.0,0.0
64300036,1,4.0,1.0,0.0,0.0,0.0
68119023,0,0.0,0.0,0.0,0.0,0.0
64244024,1,598.99,0.0,1.0,1055.55,34.0
68304077,0,0.0,0.0,0.0,0.0,0.0
64281015,1,944.18,1.0,0.0,0.0,43.0
65687031,0,0.0,1.0,0.0,0.0,0.0
64273008,0,0.0,0.0,1.0,500.0,0.0
64248022,0,0.0,0.0,0.0,0.0,
65358133,0,0.0,0.0,0.0,0.0,0.0
67289006,0,0.0,0.0,0.0,0.0,0.0
64330011,0,0.0,1.0,0.0,0.0,55.0
66264023,0,0.0,1.0,0.0,0.0,0.0
68402024,1,830.67,1.0,1.0,1345.67,
67034051,0,0.0,0.0,0.0,0.0,0.0
67034052,0,0.0,0.0,0.0,0.0,0.0
66922069,0,0.0,0.0,0.0,0.0,55.0
59026015,1,1102.74,1.0,1.0,1552.08,49.0
67032023,1,927.46,1.0,1.0,1353.97,
65358069,1,891.5,1.0,0.0,0.0,0.0
65232007,1,3.0,0.0,1.0,442.65,32.0
59026001,1,1022.24,0.0,1.0,1078.8,32.0
66837041,1,891.5,1.0,1.0,1021.5,38.0
68097003,0,0.0,0.0,0.0,0.0,0.0
64337016,0,0.0,0.0,0.0,0.0,0.0
66891018,0,0.0,0.0,0.0,0.0,0.0
66382007,1,556.55,1.0,0.0,0.0,
65358166,0,0.0,0.0,0.0,0.0,
66922057,0,0.0,1.0,1.0,1021.5,0.0
66891014,1,891.5,0.0,1.0,1021.5,48.0
67034012,1,1061.15,0.0,1.0,1380.33,49.0
64431044,1,1506.78,1.0,1.0,2316.4,43.0
67032074,1,1.0,1.0,1.0,2246.3,0.0
65749004,1,981.03,0.0,1.0,1072.29,43.0
68449018,0,0.0,1.0,1.0,448.54,0.0
64295015,1,921.05,1.0,1.0,724.57,23.0
64236004,1,1475.0,0.0,1.0,2028.23,55.0
68232035,1,891.5,1.0,1.0,1021.5,55.0
64068029,0,0.0,0.0,0.0,0.0,0.0
68233045,0,0.0,0.0,0.0,0.0,
64067021,0,0.0,0.0,1.0,1022.51,0.0
64346008,0,0.0,0.0,0.0,0.0,0.0
68302019,1,669.81,1.0,1.0,1184.26,38.0
