id,kursu_veren_kurum,kursu_tamamlama_durumu,sertifika_alma_durumu
64296021,Mesleki Egitim Ve Ogretim Merkezi (Mem),,
65753029,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
65988007,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
65434040,Stk'Lar,1.0,1.0
67805003,Ortaokul (Universite),,
65358159,Halk Egitim Merkezi (Hem),0.0,0.0
67573048,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,0.0,0.0
67579041,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
67407030,Mesleki Egitim Ve Ogretim Merkezi (Mem),0.0,0.0
67579038,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,0.0,0.0
65294011,Universite,,
67032063,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
67032072,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
65749020,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
67288017,,,
65493050,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
68357005,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
65293015,Universite,,
67577043,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,0.0,0.0
67703008,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
67034068,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
67407019,Mesleki Egitim Ve Ogretim Merkezi (Mem),,
67683020,Ortaokul (Universite),,
65294007,Universite,,
65474017,Halk Egitim Merkezi (Hem),1.0,1.0
65042024,Kamu Ofisi,,
67803013,Ortaokul (Universite),,
64358002,Meslek Lisesi,,
67845026,Universite,1.0,1.0
66086026,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,0.0,0.0
67289001,Kamu Ofisi,,
67703018,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
64392009,"Kamu Ofisi, Meslek Lisesi",,
64353036,Kamu Ofisi,1.0,1.0
64247009,Meslek Lisesi,,
67288001,Kamu Ofisi,,
66809011,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
64343007,Kamu Ofisi,,
68357024,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
66891007,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
65686026,Universite,0.0,0.0
64281026,Meslek Lisesi,1.0,1.0
64354009,Kamu Ofisi,,
64431058,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
68096010,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
65043006,Kamu Ofisi,,
65882040,Meslek Lisesi,1.0,1.0
67700032,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,0.0,0.0
68444041,Meslek Lisesi,1.0,1.0
67843033,Universite,1.0,1.0
68441030,Kamu Ofisi,1.0,1.0
67032024,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
65987016,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
65984115,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
67289033,Kamu Ofisi,,
65293009,Universite,,
65987013,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
62617018,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,0.0,0.0
66809040,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,0.0,0.0
65988010,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
65179008,Meslek Lisesi,,
65358169,Halk Egitim Merkezi (Hem),0.0,0.0
67573027,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,0.0,0.0
