id,takip_anket_tamamlama,takip_son_4_hafta_gelir,takip_hafta_20+_calisma,takip_sgk_kaydi,takip_haftalik_calisma_saat_ort,takip_aylik_gelir_ort
67032063,1.0,0.0,,1.0,48.0,750.0
67032072,1.0,0.0,,1.0,49.0,850.0
65749020,1.0,1.0,1.0,1.0,50.0,800.0
67288017,1.0,1.0,1.0,1.0,50.0,930.0
65493050,1.0,1.0,1.0,1.0,56.0,700.0
68357005,1.0,0.0,,0.0,56.0,400.0
65293015,1.0,1.0,1.0,,,
67577043,0.0,,,,,
67703008,1.0,1.0,1.0,1.0,45.0,1000.0
67034068,1.0,1.0,1.0,1.0,48.0,700.0
67407019,1.0,1.0,0.0,1.0,60.0,700.0
67683020,1.0,0.0,,0.0,48.0,900.0
65294007,1.0,1.0,1.0,1.0,60.0,700.0
65474017,1.0,1.0,1.0,1.0,60.0,1500.0
65042024,1.0,0.0,,,,
67803013,0.0,,,,,
64358002,1.0,0.0,,,,
67845026,1.0,0.0,,,,
66086026,1.0,1.0,0.0,1.0,40.0,660.0
67289001,1.0,0.0,,1.0,54.0,800.0
67703018,1.0,0.0,,1.0,50.0,600.0
64392009,1.0,1.0,0.0,,,
64353036,1.0,0.0,,1.0,48.0,630.0
64247009,1.0,1.0,1.0,1.0,50.0,700.0
67288001,1.0,1.0,1.0,1.0,60.0,1500.0
66809011,1.0,1.0,1.0,1.0,60.0,99999.0
64343007,0.0,,,,,
68357024,1.0,0.0,,0.0,11.0,400.0
66891007,1.0,1.0,1.0,1.0,20.0,700.0
65686026,1.0,0.0,,0.0,50.0,750.0
64281026,1.0,1.0,1.0,1.0,28.0,770.0
64354009,1.0,0.0,,0.0,66.0,750.0
64431058,1.0,0.0,,,,
68096010,1.0,0.0,,1.0,48.0,500.0
65043006,1.0,0.0,,0.0,42.0,575.0
65882040,1.0,0.0,,1.0,54.0,700.0
67700032,1.0,1.0,1.0,1.0,45.0,99999.0
68444041,1.0,0.0,,,,
67843033,1.0,1.0,1.0,0.0,50.0,1000.0
68441030,1.0,0.0,,,,
67032024,1.0,0.0,,,,
65987016,1.0,1.0,1.0,1.0,50.0,1200.0
65984115,1.0,1.0,1.0,0.0,60.0,600.0
67289033,1.0,0.0,,,,
65293009,1.0,1.0,1.0,1.0,48.0,800.0
65987013,1.0,0.0,,,,
62617018,1.0,1.0,1.0,1.0,45.0,900.0
66809040,0.0,,,,,
65988010,1.0,0.0,,1.0,70.0,650.0
65179008,1.0,0.0,,1.0,40.0,875.0
65358169,1.0,0.0,,,,
67573027,1.0,0.0,,,,
64431012,1.0,1.0,0.0,1.0,60.0,700.0
65984077,1.0,0.0,,,,
64297014,1.0,1.0,1.0,99.0,72.0,650.0
65749010,1.0,1.0,1.0,1.0,60.0,950.0
67579046,1.0,1.0,1.0,1.0,60.0,600.0
66891044,1.0,0.0,,,,
66837042,1.0,0.0,,1.0,54.0,700.0
67460036,1.0,1.0,1.0,1.0,70.0,1000.0
64283018,1.0,1.0,1.0,0.0,70.0,0.0
67288029,0.0,,,,,
67407027,1.0,0.0,,,,
67703026,1.0,0.0,,,,
64295013,1.0,1.0,1.0,1.0,48.0,750.0
65179006,1.0,0.0,,1.0,72.0,900.0
64297039,1.0,0.0,,1.0,48.0,800.0
